属性,实例1,实例2,实例3,实例4,实例5,实例6,实例7,实例8,实例9,实例10,实例11,实例12,实例13,实例14,实例15,实例16
Computer-主机名,DESKTOP-PL96UKD,,,,,,,,,,,,,,,
Computer-制造商,ASUS,,,,,,,,,,,,,,,
Computer-型号,System Product Name,,,,,,,,,,,,,,,
Computer-架构,x64-based PC,,,,,,,,,,,,,,,
System-名称,Windows 10 Pro,,,,,,,,,,,,,,,
System-版本,22H2,,,,,,,,,,,,,,,
System-内部版本,19045,,,,,,,,,,,,,,,
System-激活状态,已激活,,,,,,,,,,,,,,,
System-语言,zh-CN,en-US,,,,,,,,,,,,,,
System-国家或地区,CN,,,,,,,,,,,,,,,
System-时区,(UTC+08:00) 北京，重庆，香港特别行政区，乌鲁木齐,,,,,,,,,,,,,,,
System-当前用户,DESKTOP-PL96UKD\Admin,,,,,,,,,,,,,,,
System-本地超级管理员,禁用,,,,,,,,,,,,,,,
System-电源计划,卓越性能,,,,,,,,,,,,,,,
System-系统安装日期,"{'value': '/Date(1685883268000)/', 'DateTime': '2023年6月4日 20:54:28'}",,,,,,,,,,,,,,,
System-上次启动时间,"{'value': '/Date(1785106364500)/', 'DateTime': '2026年7月27日 6:52:44'}",,,,,,,,,,,,,,,
System-系统目录,C:\Windows\system32,,,,,,,,,,,,,,,
System-进程,338,,,,,,,,,,,,,,,
System-线程,7849,,,,,,,,,,,,,,,
System-句柄,157653,,,,,,,,,,,,,,,
Mainboard-型号,ROG STRIX B760-G GAMING WIFI,,,,,,,,,,,,,,,
Mainboard-主板厂商,ASUSTeK COMPUTER INC.,,,,,,,,,,,,,,,
Mainboard-BIOS模式,UEFI,,,,,,,,,,,,,,,
Mainboard-主板序列号,230318119201898,,,,,,,,,,,,,,,
Mainboard-主板版本,Rev 1.xx,,,,,,,,,,,,,,,
Mainboard-BIOS版本,1010,,,,,,,,,,,,,,,
Mainboard-BIOS厂商,American Megatrends Inc.,,,,,,,,,,,,,,,
CPU-型号,13th Gen Intel(R) Core(TM) i7-13700K,,,,,,,,,,,,,,,
CPU-基准速度,3.4 GHz,,,,,,,,,,,,,,,
CPU-物理核心,16,,,,,,,,,,,,,,,
CPU-逻辑核心,24,,,,,,,,,,,,,,,
CPU-一级缓存,1408 KiB,,,,,,,,,,,,,,,
CPU-二级缓存,24576 KiB,,,,,,,,,,,,,,,
CPU-三级缓存,30720 KiB,,,,,,,,,,,,,,,
Memory-插槽总数,4,,,,,,,,,,,,,,,
Memory-已使用插槽,2,,,,,,,,,,,,,,,
Memory-ECC,None,,,,,,,,,,,,,,,
Memory-容量,16 GiB,16 GiB,,,,,,,,,,,,,,
Memory-速度,6000 MHz,6000 MHz,,,,,,,,,,,,,,
Memory-代际,DDR5,DDR5,,,,,,,,,,,,,,
Memory-型号,AX5U6000C3616G-BLAWH,AX5U6000C3616G-BLAWH,,,,,,,,,,,,,,
